icd10,exp_mcr_inpatient,exp_mcr_outpatient,exp_total_inpatient,exp_total_outpatient,bene_ip,bene_op
25000,,33.218086,,41.689117,0,68
25001,,130.35272,,163.605,0,22
25002,,31.719473,,39.810001,0,18
91211,,1133.9229,,1423.2222,0,18
91217,,543.8125,,682.52686,0,16
91220,,763.17615,,957.89154,0,13
A000,5344.8037,121.03553,6010.0898,149.90767,299,2452
A001,3326.1968,167.73404,4104.21,205.99579,12,115
A009,6472.3438,164.58267,7366.1323,198.55246,47,259
A0100,3683.1104,158.78592,4251.9595,189.57323,28,388
A0101,,69.688782,,77.886284,4,101
A0102,,58.173889,,64.215553,3,47
A0103,5163.0249,137.26062,6044.8667,168.63551,30,156
A0104,,95.519012,,115.19933,11,173
A0105,,120.81389,,145.8992,2,85
A0109,7521.3555,131.43857,8093.1655,160.1873,15,51
A011,,73.91394,,92.291512,4,55
A013,,110.12167,,118.73639,6,30
A014,,65.34243,,83.262428,4,51
A020,7309.0728,434.29715,8408.0479,574.50555,4738,2434
A021,12553.619,329.9509,13534.834,402.36371,2428,474
A0220,,99.554268,,116.65455,8,173
A0221,,100.22611,,111.36777,1,16
A0222,5871.2329,212.70206,7018.54,274.25589,28,65
A0223,,104.22276,,127.46345,8,32
A0224,,293.56973,,365.19122,10,28
A0225,6192.9189,475.08847,6878.6597,590.95868,40,33
A0229,9909.1455,222.58298,10675.718,267.66895,40,41
A028,10427.029,284.75043,11320.089,442.73141,110,149
A029,5863.542,235.19566,6621.0581,298.55209,592,1496
A030,8583.9365,252.31361,9444.6738,334.50595,74,81
A031,10149.081,242.82588,11146.453,298.17029,31,27
A032,,124.60706,,145.92294,5,17
A033,9761.9727,237.63139,10762.956,282.01001,72,37
A038,8578.3535,326.26187,9732.8828,398.46338,79,58
A039,8249.6035,320.43387,9244.4922,405.04733,450,480
A040,7735.208,541.13727,8737.3887,703.34344,1423,964
A041,7077.4707,219.39421,8028.3164,273.71588,337,906
A042,5338.3911,217.4028,6058.8887,268.43344,105,189
A043,7793.9927,247.78212,8755.3486,295.98355,192,117
A044,7631.0776,579.71753,8598.0859,767.29297,1875,1477
A045,7194.4668,535.36798,8259.4746,709.992,5912,4349
A046,8104.4956,385.32733,8948.2861,482.56909,276,224
A047,8189.3247,285.37189,9096.7822,363.78336,92321,80638
A0471,8584.1309,366.06863,9399.75,466.18585,21145,18771
A0472,7811.9663,329.20868,8697.4941,422.97971,84602,77164
A048,6523.9575,113.57201,7355.1104,137.21208,2668,42827
A049,6757.1997,265.54184,7755.4912,354.78378,5674,8415
A050,7417.1357,452.38739,8523.3535,616.44019,85,197
A051,34381.469,409.27264,35637.152,504.05176,27,148
A052,,78.521858,,95.22628,8,35
A053,7011.3589,546.86774,7778.8032,701.55908,14,22
A054,6433.7139,403.54834,7134.2026,529.44476,21,48
A055,,253.14143,,323.73929,6,12
A058,6037.8281,173.58922,7021.9561,223.66661,153,398
A059,5383.3325,405.15097,6489.9375,534.59442,1837,4179
A060,5263.6016,275.14728,6137.3447,355.60168,48,277
A061,,164.90337,,196.86325,9,115
A062,4377.3174,110.72562,4657.0122,137.70795,13,55
A063,,143.14824,,173.48471,6,31
A064,4600.0522,202.52901,5324.271,261.85941,48,140
A065,3493.7561,160.72191,4035.7441,200.53276,19,46
A066,6034.3838,359.51422,6695.1934,452.62222,22,30
A067,,139.5217,,173.55635,5,96
A0681,,116.49909,,156.44168,10,67
A0682,6349.417,140.85995,7862.6792,171.94876,31,153
A0689,,60.700481,,73.851685,10,61
A069,,122.50898,,146.25034,9,271
A070,,113.84778,,144.18759,7,428
A071,8173.6826,248.48015,9196.3281,311.59378,456,1752
A072,9520.5713,333.72061,10560.953,434.00351,737,927
A073,1011.4939,123.27116,1224.4016,146.15428,17,237
A074,6523.8018,210.46169,7368.1104,264.72797,63,171
A078,7398.1865,124.52291,8026.9653,149.66486,44,770
A079,3532.3191,110.41249,4334.73,126.65309,29,213
A080,5740.6118,657.68256,6803.8271,898.24341,1412,2314
A0811,6025.5576,685.51929,7025.4004,900.09338,5374,6198
A0819,5808.1392,454.9859,6673.5649,594.95557,268,920
A082,10147.644,384.35349,11488.979,530.88977,216,464
A0831,1523.1654,233.05029,1756.2892,283.17691,13,43
A0832,5881.4609,706.45313,6912.4082,907.7041,151,190
A0839,6981.5894,399.65955,7963.521,533.61182,3238,8738
A084,5737.4243,475.28421,6779.4971,634.46539,56149,126186
A088,5481.4058,271.31381,6310.2803,359.16595,657,4051
A09,5033.1245,299.29755,5957.0337,383.55322,44238,111804
A150,13266.631,163.07552,14755.653,202.35683,2321,7260
A154,,110.62437,,132.28813,9,69
A155,18185.879,280.55356,18666.152,350.26263,16,101
A156,17894.965,250.04428,19222.293,300.80774,129,220
A157,11271.999,104.52322,12330.298,127.97484,131,965
A158,11248.347,201.69046,12496.789,247.99545,87,447
A159,8104.8809,128.40932,8926.2881,158.81944,848,5468
A170,22785.609,349.48132,24171.988,426.51486,71,99
A171,,125.5904,,155.8244,1,20
A1781,37196.629,326.30475,40776.77,406.22458,32,125
A1782,30899.811,,32163.113,,21,11
A1789,,88.490326,,103.07129,3,20
A179,2968.9478,109.69202,3594.0579,157.52965,40,80
A1801,12757.035,327.33411,13352.313,422.39001,341,819
A1802,10511.394,198.00021,12525.878,250.92845,18,156
A1803,,159.90681,,199.7606,11,151
A1809,,134.1703,,163.01062,4,29
A1810,,139.65639,,171.0387,8,58
A1811,20832.871,264.11121,22272.334,329.02872,12,84
A1812,,188.30634,,237.38483,4,43
A1813,,191.69383,,237.23717,6,56
A1814,,106.27296,,131.43912,2,35
A1815,,461.49847,,554.31982,2,26
A1817,,610.3562,,750.89093,1,16
A182,10171.812,186.82198,10877.579,234.82864,61,288
A1831,21272.766,206.8913,23045.404,292.55234,38,69
A1832,11294.433,313.88007,11830.312,378.45352,23,62
A1839,12727.244,199.91934,14491.875,283.73328,14,38
A184,4633.3921,312.02936,5386.5317,386.758,19,486
A1850,,122.51591,,151.16895,7,77
A1851,,179.31516,,221.72612,0,24
A1852,,138.53918,,178.61864,1,72
A1853,,120.74977,,147.35117,3,21
A1854,,180.34082,,227.47617,1,36
A1859,,278.12631,,351.77078,2,98
A186,,124.8165,,166.26888,3,62
A187,,322.96042,,407.08582,2,19
A1881,,52.568947,,56.938541,0,145
A1883,16950.811,249.05698,17572.365,303.39716,14,25
A1884,22543.326,235.0322,23673.234,302.48077,31,82
A1889,2558.8936,116.16933,3243.1113,140.93324,24,348
A190,6043.1108,552.82758,6463.3906,673.62842,23,33
A191,19132.018,331.16928,21195.691,386.55731,13,18
A192,15208.917,234.04504,15984.916,289.75137,21,102
A198,22758.152,239.17599,24330.586,282.716,24,46
A199,26636.178,279.09222,27935.945,345.16821,178,260
A200,,50.542355,,61.425884,0,16
A201,,128.99266,,156.26633,1,22
A202,,76.021378,,96.18586,9,70
A207,5855.2109,196.3228,6501.9165,243.37939,24,22
A208,,610.17261,,774.03296,3,24
A209,61.664497,148.51109,80.028,188.16475,19,93
A210,,182.18266,,218.20622,6,33
A211,,139.386,,177.56,2,13
A212,,70.55703,,89.423279,10,20
A213,,120.4474,,145.5463,2,12
A217,,166.3658,,203.80052,10,16
A218,,148.66624,,180.86084,2,20
A219,7649.4824,166.08762,8586.0137,229.06555,30,162
A221,,90.925949,,114.69675,2,22
A227,10365.548,1509.2046,10877.4,1663.2493,26,12
A230,,116.36364,,145.67319,7,12
A231,,628.37201,,779.51239,2,17
A238,,99.894348,,161.39783,10,16
A239,10278.324,179.59715,11032.818,221.82133,44,177
A240,,679.59467,,847.69189,3,67
A241,5695.103,334.63998,6840.6821,418.84894,25,14
A249,,401.53604,,487.27478,10,35
A250,,59.547691,,65.059227,0,13
A251,,46.954636,,47.890869,8,49
A259,,77.60302,,94.749069,6,20
A260,6941.7314,143.39227,8008.9541,183.7119,25,1413
A267,9424.9268,257.47833,10636.868,322.89377,70,101
A269,,142.02444,,189.87302,3,54
A270,,96.07917,,118.55972,8,63
A2781,4261.3091,271.03967,4875.1245,334.349,114,54
A2789,,90.619415,,112.98471,11,17
A279,10347.869,152.49205,11438,186.44467,47,103
A280,14551.46,271.96344,15571.34,352.77841,1647,817
A281,5971.9746,170.89116,6953.2617,218.81786,174,1346
A288,,212.68015,,249.99309,10,57
A289,3787.7683,203.93314,4239.561,249.4516,19,120
A300,,53.952187,,64.912605,0,67
A301,,152.86896,,176.94992,1,74
A302,,86.511948,,108.60854,1,17
A303,,76.313461,,97.923271,0,16
A304,,65.441849,,82.078705,0,22
A305,,104.13208,,133.61255,0,86
A309,,124.8925,,155.05011,6,219
A310,10608.213,172.50385,11406.561,214.15207,4566,27839
A311,9889.0078,273.97421,10671.334,341.4924,104,943
A312,14170.315,167.11058,15219.583,207.70622,525,2496
A318,10438.202,239.00424,11228.735,302.1976,350,2518
A319,4092.0364,214.47005,4527.2788,271.95844,954,11477
A3211,16199.264,227.45378,16952.809,284.07635,151,57
A3212,14162.002,265.95062,14904.699,318.94574,59,23
A327,19359.736,472.89499,20352.57,570.61212,624,163
A3282,7715.3394,177.89035,9257.9287,361.93576,41,64
A3289,12483.911,385.7204,13202.227,487.5408,35,22
A329,7094.0283,277.72253,7639.3022,350.0603,129,184
A35,22637.508,342.04526,23639.85,445.65027,31,299
A360,,76.17395,,91.206512,2,33
A363,,116.125,,137.42749,7,13
A3681,,172.38582,,214.51321,6,53
A3685,,158.36111,,192.94167,7,50
A3686,,69.549446,,99.83889,0,17
A3689,,50.362045,,57.004089,9,78
A369,4047.7678,1097.1071,4221.6279,1373.4041,19,79
A3700,6655.4927,210.85756,7672.5596,255.65849,93,425
A3701,8871.6943,193.16814,9811.3066,234.13644,72,81
A3710,,373.04575,,460.2702,8,48
A3711,,100.65539,,133.71539,4,12
A3780,,174.10928,,220.36531,8,78
A3781,5996.9302,171.5894,6974.855,270.58395,19,21
A3790,5807.1597,147.28381,6511.4463,187.07573,115,1717
A3791,5972.9214,102.99667,6899.6963,130.45898,74,167
A380,,57.297691,,68.954613,0,13
A388,,187.01445,,244.01222,3,18
A389,8975.043,146.35666,10415.733,193.73549,22,218
A390,10256.575,483.71625,11010.894,617.03271,113,156
A391,9439.1924,493.55289,9913.916,690.79291,20,31
A392,20315.754,,21227.621,,38,9
A394,11324.666,298.98746,12182.067,373.95258,71,30
A3981,10572.015,278.75079,11644.938,355.79486,85,65
A3983,,83.141251,,97.91188,1,12
A3984,,344.0704,,432.3533,9,148
A399,3446.0173,376.19781,3923.7869,480.25604,27,932
A400,19035.926,710.90833,20129.266,879.32751,12191,1357
A401,15521.698,589.94519,16601.605,751.05975,22204,2303
A403,15822.778,551.12897,16900.246,705.77203,29105,3882
A408,17051.633,640.95563,18067.197,825.39972,27065,2741
A409,14026.404,466.0614,14990.32,605.39307,22483,4017
A4101,19639.102,576.81494,20646.359,727.14709,66499,10283
A4102,21036.227,884.21283,22188.225,1122.0233,67193,9220
A411,17151.008,1031.7949,18210.668,1296.6554,26153,3040
A412,13243.761,419.74554,14167.584,528.92816,10433,2944
A413,17837.023,711.31097,18911.217,879.16455,6109,532
A414,16270.29,679.52515,17102.457,845.93658,23591,2455
A4150,12853.548,683.37512,13724.254,869.45709,64238,6430
A4151,13925.319,679.14996,14979.736,852.88678,254671,26732
A4152,17928.447,1037.658,19020.016,1296.4847,36761,4043
A4153,18613.375,743.51825,19657.207,912.65186,5118,553
A4159,17230.762,1185.2686,18273.934,1461.3627,81249,5485
A4181,17708.313,875.21948,18732.348,1099.7805,46393,5300
A4189,13294.278,680.05902,14305.602,877.32635,135511,21883
A419,14298.082,600.68677,15276.518,792.76923,2378283,584911
A420,15236.345,342.20096,16017.417,432.24454,178,328
A421,4424.4307,284.47928,4883.7998,363.68719,58,275
A422,7476.7725,280.38605,8330.585,354.99234,27,294
A427,11971.824,205.33182,13021.878,256.26123,576,332
A4289,10815.544,273.38895,11551.008,354.42221,73,280
A429,4175.0029,237.96234,4640.3784,314.00604,215,1306
A430,16441.27,315.15808,17396.236,406.27832,547,1147
A431,13370.535,172.26361,14515.748,215.8201,43,127
A438,27406.689,282.72519,28660.988,396.42999,118,104
A439,4641.1973,229.48694,5136.1738,301.30655,202,1204
A440,20045.492,418.59509,21033.949,517.07654,24,78
A441,1884.6094,135.30812,2037.2153,170.89018,16,40
A448,,224.10674,,265.77048,6,74
A449,5612.083,207.67815,6443.9014,242.27682,48,606
A46,5626.3936,229.61855,6621.6733,306.30298,1431,7607
A480,8271.0391,555.79309,8899.3564,704.0199,2546,1470
A481,10366.223,131.53244,11262.298,165.00549,2969,2318
A482,10096.698,39.738785,11029.835,45.116543,21,89
A483,20560.59,695.51587,21540.758,899.08838,341,107
A4852,15671.668,130.28938,17575.834,157.11905,30,431
A488,3921.7866,203.08966,4497.9639,221.08156,214,3764
A4901,3724.0366,287.93759,4289.0933,375.67886,4666,13436
A4902,4326.0371,315.55551,5230.3882,414.32602,8494,38637
A491,1965.4109,289.57968,2293.908,378.01584,2606,5531
A492,3904.9202,190.66528,4579.2876,239.4169,307,1083
A493,3621.1736,190.28986,4170.3115,241.12651,119,1872
A498,1738.5151,262.1077,2051.4604,339.55124,5556,14732
A499,3155.2542,129.4805,3767.2463,160.01114,5495,38297
A5001,,74.426926,,83.832306,0,24
A5002,,479.58884,,603.23077,11,309
A5004,,189.92111,,253.504,4,42
A5005,,131.75609,,153.0213,0,22
A5006,,88.742561,,110.38949,0,30
A5008,,120.61895,,153.10316,2,16
A5009,,320.24207,,394.3645,0,36
A501,,114.53632,,128.84421,3,18
A502,,86.358849,,106.9051,2,41
A5043,,561.96527,,703.73297,2,14
A5049,,208.22171,,263.30219,2,21
A509,1173.7028,125.36244,1379.3345,150.78883,17,143
A510,,244.02368,,308.11459,10,552
A511,,139.1456,,176.3992,0,19
A512,,148.28166,,174.6949,3,79
A5131,3507.6362,216.4834,3904.2427,284.68289,15,538
A5132,,130.11,,145.76723,0,17
A5139,5681.8394,219.19406,6760.3105,278.44955,26,201
A5143,7772.5977,365.93887,8527.7158,456.43149,55,113
A5149,8513.3398,223.10597,9246.1973,278.8334,39,490
A515,2203.436,146.43134,2338.8726,181.21214,15,342
A519,4717.7397,138.83296,5482.4673,170.77809,20,203
A5200,,76.120667,,92.309044,0,113
A5201,,194.65976,,262.80109,7,101
A5202,14464.406,339.64737,14777.581,437.70499,13,39
A5203,2733.5808,226.26654,2944.79,303.80008,40,104
A5205,6650.9941,131.61942,7667.9214,173.21336,16,109
A5206,4514.2324,154.25812,5351.0107,189.87466,21,113
A5209,,126.80952,,157.37953,1,12
A5210,5499.5601,271.69519,6388.0474,338.26068,78,101
A5211,7698.791,206.7067,8902.749,266.08057,27,443
A5212,,108.35,,123.52,3,16
A5213,27371.139,350.85904,28502.668,445.56046,19,16
A5214,,147.86185,,195.72037,10,14
A5215,7932.6436,160.07021,9092.8291,194.29121,27,192
A5216,8961.167,532.7699,9881.6416,663.95349,448,3953
A5217,7481.0317,261.6615,8265.3037,332.99582,236,1282
A5219,11726.976,222.98502,12906.851,276.91486,124,300
A522,10399.222,183.19267,11431.823,218.37254,23,120
A523,11453.626,376.05722,12527.127,471.29803,1066,1679
A5271,7757.7104,344.75061,8642.0723,431.95569,82,147
A5274,,109.9676,,121.4288,4,24
A5276,,112.02556,,137.46167,1,17
A5278,,266.64963,,311.96814,1,22
A5279,10154.706,295.79367,11178.188,384.0051,17,73
A528,8194.3682,212.9155,9078.7715,270.13416,183,1510
A529,6065.0542,201.21138,6740.7979,255.75117,68,394
A530,5926.3218,177.5002,6497.1367,221.07759,324,4023
A539,3347.498,201.18109,3755.1235,248.85628,480,9101
A5400,3497.5217,149.10011,4026.6755,177.158,13,595
A5401,2897.1382,207.29054,3357.6658,265.28876,14,454
A5402,,162.19365,,187.85806,3,161
A5403,,172.76733,,194.80412,2,205
A5409,5335.5381,279.22131,6540.4463,340.86661,12,193
A541,,264.97778,,337.51794,10,52
A5421,,419.09186,,520.5249,7,38
A5422,,157.77965,,167.01118,1,103
A5423,5669.5693,161.84236,6452.853,187.50471,14,122
A5424,7253.3491,201.89714,8369.4277,233.21817,55,106
A5429,,136.57899,,160.83212,3,65
A5430,,120.21425,,145.65115,2,85
A5431,,147.06758,,182.17448,11,27
A5439,,94.53595,,110.01857,2,73
A5442,12669.888,201.16518,13718.558,252.72241,49,55
A5449,,181.94945,,234.015,2,16
A545,,129.43147,,159.66943,3,359
A546,,131.74017,,161.56416,6,158
A5484,5589.5454,324.49844,6656.8281,408.01901,25,31
A5486,12856.232,930.32794,14001.802,1209.0511,45,26
A5489,8610.3994,148.19926,9551.7188,219.83888,17,49
A549,4775.48,146.09868,5229.4912,178.43282,34,3232
A55,,246.04811,,304.43552,11,101
A5600,,124.77948,,130.30017,2,821
A5601,,169.77496,,214.67899,5,369
A5602,,180.68239,,212.50391,3,353
A5609,,150.51295,,178.95851,2,233
A5611,7006.6548,344.63217,8075.4355,420.98068,20,81
A5619,,167.9261,,192.04901,5,123
A562,4051.9812,168.59514,5056.1753,194.80717,15,335
A563,,143.58736,,172.02031,11,144
A564,,166.935,,192.08606,0,37
A568,,160.64032,,186.02765,3,411
A57,,195.10628,,248.78091,4,279
A58,,515.58643,,660.05573,7,434
A5900,6409.1519,179.59526,7476.0986,225.57446,25,1170
A5901,4899.9805,218.86955,5500.6797,273.8775,59,6465
A5902,,124.13887,,149.55057,1,52
A5903,7581.3101,252.08072,8557.5557,345.21811,24,497
A5909,,245.05067,,308.49347,10,527
A598,,160.42973,,203.8289,0,134
A599,3719.5476,209.95808,4137.8608,263.54395,53,6780
A6000,3812.7761,133.05464,4251.4321,166.14272,126,10235
A6001,6558.1528,141.99922,7301.2065,182.54895,52,1799
A6002,6422.7573,148.87204,7023.3389,188.8797,40,1266
A6003,,168.65852,,210.28271,2,72
A6004,7584.8105,127.77647,8383.8262,158.84686,157,5403
A6009,7575.3818,122.41964,8437.7705,153.05675,62,2442
A601,8077.4644,160.6042,8677.377,201.58282,103,930
A609,2464.2734,106.99364,3109.7639,132.27266,62,5427
A630,6234.9106,439.22937,6749.978,556.85541,443,31608
A638,,116.38976,,132.57559,3,759
A64,1930.1877,160.77678,2293.0378,190.35167,27,10078
A65,,98.552887,,124.48135,4,42
A660,,113.4255,,137.27451,0,19
A661,,173.43001,,214.77074,0,37
A662,,88.129997,,115.66748,2,377
A663,,108.32095,,138.29709,2,162
A664,,110.91217,,138.24181,5,45
A666,1747.2136,237.48058,1846.7437,309.95047,20,244
A669,,78.189651,,102.12604,2,83
A670,,371.108,,472.06839,0,25
A671,,103.96714,,132.68297,1,86
A672,,89.816574,,106.78629,2,32
A673,,95.512695,,127.74115,2,25
A679,,46.7855,,48.727501,0,18
A680,,130.22231,,160.99307,1,13
A681,5702.2915,142.66881,6630.1196,170.72133,67,605
A689,3743.8672,189.66028,4045.0376,232.05714,348,1494
A690,4438.9487,199.99156,5088.3247,246.51704,41,223
A691,9364.4473,228.15088,10297.271,305.58389,38,422
A6920,6713.1885,191.98665,7651.4224,234.26759,2016,58988
A6921,10617.806,497.79675,11528.01,638.55072,180,235
A6922,10757.533,350.48724,11706.999,443.1701,363,2909
A6923,7764.7588,212.08174,8940.0342,265.80267,117,3146
A6929,7503.2686,191.03587,8358.4951,232.74602,177,2250
A698,,229.80536,,277.71179,6,96
A699,,139.07707,,163.00806,11,150
A70,10104.818,146.17607,11054.253,184.07689,20,55
A710,,78.142372,,97.10421,0,14
A711,,95.80674,,117.46011,2,37
A719,4121.4814,119.33471,5193.2671,141.13708,12,186
A740,,127.94061,,148.96454,1,86
A7489,,124.42545,,146.59511,2,131
A749,1867.6296,140.65135,1999.5896,167.3508,26,3059
A750,,172.76443,,244.77222,3,18
A751,,129.62163,,161.39102,1,18
A752,13478.185,160.66357,14429.808,203.60196,35,51
A759,6362.7095,231.23428,7402.8325,301.797,37,64
A770,8232.1777,207.9592,9252.627,257.99533,396,2931
A771,,142.68408,,168.6337,4,18
A7740,7879.9326,244.87674,8869.6914,315.5119,790,1350
A7741,9011.5,149.30182,9992.0332,186.16383,130,285
A7749,8568.9219,263.5351,9674.7881,344.04919,1692,2422
A778,652.91809,155.90013,808.99652,185.98413,22,110
A779,6524.4238,117.58105,7424.4653,144.24812,38,330
A78,4682.1123,119.25354,5197.4106,141.312,194,1755
A790,,628.48035,,773.29321,4,54
A791,,845.06915,,1041.3674,4,20
A7981,,242.06334,,259.07944,8,16
A7989,7891.4673,143.08961,8328.1816,155.20538,23,107
A799,9472.5684,196.9012,10603.022,225.19991,83,425
A800,,588.05811,,739.97833,1,41
A8030,6859.9233,472.37442,8711.4336,593.37567,15,224
A8039,,537.21899,,682.78522,7,375
A804,,609.11523,,775.25372,6,102
A809,6238.1235,428.17715,6826.022,544.42859,72,2455
A8100,15570.136,407.05573,16383.295,512.02594,590,292
A8101,13753.534,94.555428,14393.765,121.39143,22,33
A8109,15782.901,186.21616,16514.711,239.22815,84,34
A811,,576.2041,,733.3783,10,43
A812,16488.016,378.54294,17487.229,478.95004,421,707
A8182,,428.30334,,542.44,7,15
A8183,,128.7977,,160.50577,3,16
A8189,,247.00499,,325.82251,5,12
A819,8913.4883,232.222,9547.3428,288.896,85,176
A829,,422.06387,,570.11273,8,328
A831,,160.59692,,210.1877,1,20
A832,36544.922,461.11966,37369.953,584.64935,15,12
A833,15522.864,276.11545,15841.286,334.77982,14,164
A838,18656.273,405.1611,19524.172,513.90332,23,22
A839,,123.53436,,154.47128,10,22
A840,,92.221336,,110.144,2,14
A848,36064.066,132.00851,37526.152,163.26768,29,100
A849,11247.822,193.3282,12074.501,241.56731,40,181
A850,17519.971,,18551.543,,41,10
A851,17576.334,,18695.496,,12,11
A852,,92.177559,,110.72755,6,32
A858,20018.893,342.74637,20801.412,426.84528,283,163
A86,17232.996,441.76978,18134.086,577.32104,2526,783
A870,10669.574,304.87488,11795.547,371.59756,94,39
A871,,2045.9067,,2568.6895,10,16
A872,11152.082,346.27805,11788.716,430.62134,179,96
A878,7529.3169,541.64978,8282.5918,671.15399,160,99
A879,8698.1904,467.71463,9636.9688,606.9707,2824,1309
A881,5164.061,256.73267,6126.0679,335.89261,356,5123
A888,,228.7626,,310.78043,8,43
A89,5307.127,112.54312,5860.0293,150.50517,44,91
A90,6160.749,211.01506,7229.7412,262.81631,47,270
A91,2366.4905,114.19066,2800.6563,136.13557,18,49
A920,,121.25164,,149.49747,10,119
A9230,8422.3789,409.84811,9433.4941,515.70563,203,517
A9231,21644.139,492.41638,23038.389,622.25446,769,520
A9232,13695.933,403.84323,14796.212,509.81247,136,177
A9239,8591.2441,333.01355,9765.377,432.76324,51,117
A924,,85.269745,,107.20573,6,101
A925,,103.81442,,122.66308,2,45
A928,,78.830833,,93.814392,11,119
A929,,60.810638,,70.830849,3,43
A930,,176.004,,194.44519,1,24
A931,,92.7332,,114.6292,0,24
A932,3618.9524,127.10112,4551.2603,153.1861,20,433
A938,5193.7583,195.17296,6337.9751,246.24706,1293,3482
A94,4872.5581,244.40422,5921.3467,327.48987,79,119
A950,,32.651428,,40.009998,2,14
A959,,51.193043,,61.531303,1,12
A961,,88.903435,,115.12094,0,32
A962,,79.604004,,100.31133,2,14
A969,,40.020218,,40.904999,3,45
A980,,97.340736,,121.6982,4,60
A981,,162.52901,,201.3645,1,18
A985,,131.36935,,168.31709,8,30
A988,,178.74182,,221.675,2,21
A99,4889.9595,85.343414,5809.6094,96.927315,15,38
B000,9731.4482,120.49712,10601.248,153.16095,46,1010
B001,4023.1145,107.41428,4567.1411,138.19086,416,38454
B002,8674.1865,131.28171,9336.8477,168.41562,477,5806
B003,9634.0439,344.10513,10591.583,446.21445,724,253
B004,20676.203,381.92206,21673.223,485.07724,2472,1116
B0050,4655.5933,116.46173,5073.1289,148.71317,75,1727
B0051,6077.21,125.06535,6794.1211,158.5896,13,1113
B0052,6437.2007,135.53629,7215.3647,174.66507,168,17615
B0053,6290.1719,118.72084,6854.3628,152.41685,39,733
B0059,7084.5967,112.84407,7535.3491,145.02945,36,1277
B007,16914.242,245.66725,17933.838,308.93573,329,213
B0081,7688.9541,111.7637,8342.7559,129.64204,20,114
B0082,9887.4746,105.72162,10862.551,133.685,21,425
B0089,7564.0713,121.66411,8398.8193,154.86133,504,6612
B009,2876.6836,109.45973,3315.9146,136.85643,861,49544
B010,10666.956,213.49318,11549.425,268.29266,176,98
B0111,17894.58,541.7251,18782.881,680.75232,442,106
B0112,17338.055,213.61798,18813.73,273.19839,32,54
B012,11618.615,262.52252,12741.856,354.54791,68,70
B0181,,106.6472,,136.61826,4,90
B0189,6358.8257,163.50702,7016.6533,207.45784,159,413
B019,5392.4907,161.5761,6204.7222,208.2896,394,3755
B020,12350.021,199.93051,13310.768,255.44734,1333,1330
B021,11300.199,275.42349,12250.983,347.85721,525,477
B0221,7631.0981,219.37186,8702.6133,283.33786,874,3201
B0222,6844.3735,189.94447,7755.0981,239.95143,711,8277
B0223,7103.0825,149.06728,8057.1665,189.21431,435,14562
B0224,12327.504,152.25439,13304.088,193.02704,78,455
B0229,7397.749,203.828,8269.2178,254.55251,2904,68204
B0230,6297.0449,184.03799,7306.4351,239.01396,3187,15053
B0231,5113.7852,132.39951,5996.5732,172.04385,448,4045
B0232,4926.8223,123.65958,5464.8228,156.21098,66,2390
B0233,5743.2329,124.15544,6619.7563,161.83447,310,8290
B0234,3885.8223,181.3837,4702.4614,230.42505,13,141
B0239,4584.6753,123.86362,5359.9214,159.99088,1071,14975
B027,9065.3535,178.85838,10066.335,229.32387,2566,4251
B028,6092.6514,153.44624,6994.6514,200.39502,3361,33568
B029,6677.2144,145.77605,7560.8511,191.35121,11512,434032
B03,,47.036762,,53.263802,1,60
B050,,162.78067,,199.46227,1,40
B052,,83.584,,96.412575,9,35
B0589,,76.873802,,88.380203,5,49
B059,6937.0518,80.232742,8227.417,95.363274,25,453
B0600,,188.92549,,237.84474,2,34
B0601,,58.961395,,78.00721,1,13
B0602,,83.514946,,95.668602,3,45
B0609,,203.2934,,251.21941,0,14
B0681,,269.1011,,337.76752,1,32
B0682,,122.44672,,154.65771,0,70
B0689,,207.09404,,260.71841,0,49
B069,,125.13509,,146.97752,1,151
B070,1394.2708,122.75494,1645.715,159.88821,59,59418
B078,2613.0754,118.16334,2899.9094,153.06398,43,109635
B079,1034.7603,113.28886,1158.0695,147.07265,99,129666
B08011,,56.134998,,63.725712,0,13
B0802,,145.85284,,184.79219,3,123
B0803,,145.011,,197.826,0,29
B081,,135.10323,,172.61813,10,3319
B083,,143.37337,,180.27394,6,137
B084,5409.2109,166.92244,6396.3154,212.99809,73,2057
B085,3260.1492,132.8149,4168.8774,172.11797,22,1899
B088,6495.3018,140.45244,7775.3491,179.23039,64,1185
B09,5733.9507,129.83376,6688.9731,167.54744,178,4168
B1001,23758.885,270.62778,24715.748,330.32465,128,62
B1009,19855.434,613.28125,20726.084,770.87323,218,57
B1081,5746.0493,381.6199,6116.0962,454.42563,54,187
B1089,3940.1848,144.41745,4545.9272,180.45854,28,401
B150,7738.269,135.62598,8316.5957,153.8118,19,260
B159,7246.4595,172.52304,8276.2773,212.23157,1428,3680
B160,,112.77118,,164.80443,9,173
B161,3943.6052,158.99588,4293.6978,188.94319,20,439
B162,9267.9521,119.65308,9701.4707,135.81934,19,248
B169,9039.3369,144.66283,9952.7861,170.98134,979,4057
B170,1469.4786,175.45438,1813.1327,197.61679,13,385
B1710,5351.0767,138.4097,6080.1836,160.92273,1003,10439
B1711,9611.2002,138.9328,10196.578,153.55948,90,390
B172,7649.9873,109.99979,8203.2871,122.7877,29,152
B178,5887.3242,91.019981,6643.543,103.04369,128,792
B179,5041.2007,294.01398,5726.9692,381.83054,3804,7338
B180,7629.2095,118.59496,8276.1182,135.55099,14,2484
