icd10,exp_mcr_inpatient,exp_mcr_outpatient,exp_total_inpatient,exp_total_outpatient,bene_ip,bene_op
S83206A,3051.875,210.50957,3718.9683,279.98831,169,13546
S83206D,7724.1436,211.59242,8715.2158,278.63074,89,3653
S83206S,,191.14676,,246.80495,5,485
S83207A,3178.3469,205.25702,3699.9167,274.27908,129,12273
S83207D,8643.3252,214.9642,9614.6182,281.31509,57,3437
S83207S,,209.44681,,274.22833,8,448
S83209A,1552.8507,152.10468,1821.9705,203.5412,41,5430
S83209D,7272.1577,214.314,8495.2549,279.97601,18,595
S83209S,,183.58141,,236.31129,4,124
S83211A,987.68152,630.06592,1174.2603,819.80048,40,4061
S83211D,,315.6214,,404.05664,6,964
S83211S,,414.79208,,528.19238,0,98
S83212A,4197.6743,614.18964,4754.499,802.22321,38,3584
S83212D,,277.55551,,359.73514,4,755
S83212S,,338.83682,,429.98859,0,65
S83219A,,177.86578,,228.64436,4,648
S83219D,,235.85046,,299.67896,0,62
S83221A,1515.9933,432.82065,1703.4181,560.18506,31,6101
S83221D,,256.42157,,331.01596,5,2603
S83221S,,238.60432,,305.26913,2,112
S83222A,2656.1699,436.61932,2939.9714,565.32495,21,5653
S83222D,,239.13503,,310.56284,10,2505
S83222S,,248.23701,,315.78064,0,117
S83229A,,173.30696,,225.1709,0,95
S83229D,,225.36549,,293.66583,0,28
S83229S,,146.34712,,189.23134,0,31
S83231A,2939.2043,829.21289,3300.9805,1074.7463,291,54647
S83231D,6291.0903,267.67905,6884.209,348.69452,57,11158
S83231S,,273.345,,351.86133,3,501
S83232A,2790.7268,838.92444,3189.1729,1088.524,254,53080
S83232D,5544.271,260.42514,6408.0503,338.48135,51,10650
S83232S,,285.62296,,379.14368,5,471
S83239A,,538.7262,,699.34729,7,537
S83239D,,179.73894,,228.5939,0,114
S83239S,,156.53743,,202.23372,0,32
S83241A,3511.7534,676.85352,4009.1194,885.8468,844,116978
S83241D,8490.7021,254.81816,9183.2314,336.01776,169,22518
S83241S,8007.2261,287.87799,9478.542,372.2225,14,1362
S83242A,3405.7866,676.72443,3941.2429,886.56097,813,114175
S83242D,9247.9717,255.22795,10138.563,335.78802,164,21898
S83242S,7432.5298,261.75775,8591.915,345.09033,17,1198
S83249A,3151.7634,208.78276,3792.9297,276.13943,45,6802
S83249D,,233.34619,,310.3266,11,874
S83249S,,211.61125,,280.32419,2,153
S83251A,8144.2832,880.10724,8873.7031,1156.1317,26,1832
S83251D,,267.617,,355.06586,6,338
S83251S,,205.55986,,263.63818,0,46
S83252A,6314.7085,922.48853,7027.4053,1215.4335,31,1480
S83252D,,298.55545,,385.36469,5,263
S83252S,,141.57532,,184.15048,1,54
S83259A,,668.00537,,826.13538,2,32
S83261A,8738.8984,451.96933,9790.0918,582.73718,12,1678
S83261D,,269.2688,,353.71896,3,674
S83261S,,268.38998,,338.27417,0,40
S83262A,7218.7886,497.81088,7816.4878,636.97772,17,1411
S83262D,,243.46768,,316.13489,3,607
S83262S,,216.39999,,269.15106,1,30
S83269A,,630.67395,,786.85431,0,19
S83271A,3211.9128,778.09027,3670.7212,1008.3253,104,14563
S83271D,8736.96,266.23364,9918.6094,346.60745,16,2914
S83271S,,325.47607,,426.93518,2,117
S83272A,4333.7197,783.21155,4872.9775,1015.5985,93,11894
S83272D,,265.28217,,344.56696,11,2385
S83272S,,244.89851,,313.47269,3,88
S83279A,,623.93042,,801.1701,7,134
S83279D,,170.9165,,214.63925,1,30
S83279S,,107.68098,,130.0878,3,38
S83281A,4998.8784,741.78986,5704.6445,973.2663,352,36919
S83281D,10138.564,261.43506,11132.839,346.43991,85,5992
S83281S,,261.36273,,345.32224,8,369
S83282A,4474.3755,760.69904,5121.4077,992.81891,341,31637
S83282D,9281.9512,263.26666,10284.521,346.03439,52,5311
S83282S,,246.2397,,322.30151,8,327
S83289A,4873.9009,313.7753,5694.7407,409.72849,18,2028
S83289D,,220.67612,,290.71072,4,264
S83289S,,186.66495,,237.73627,0,59
S8330XA,,183.9012,,236.382,2,157
S8330XD,,275.64651,,349.88086,2,18
S8330XS,,92.158333,,122.32833,1,15
S8331XA,4762.6416,347.18234,5474.5601,473.68228,18,846
S8331XD,,286.97879,,371.09979,11,177
S8331XS,,283.25098,,373.13043,1,67
S8332XA,7270.5479,344.56702,7738.6143,461.92807,18,722
S8332XD,,309.29797,,409.54306,7,165
S8332XS,,295.14383,,377.53723,1,69
S83401A,2181.1763,139.00209,2661.1814,182.40836,22,5304
S83401D,7465.7227,211.50571,8521.3359,271.84805,18,327
S83401S,,358.69226,,458.30548,3,106
S83402A,3484.2546,144.29971,4209.4277,188.49719,29,4699
S83402D,7398.1973,234.88406,9199.2861,304.94308,19,330
S83402S,,280.38,,358.3739,2,114
S83409A,,161.29559,,205.74937,2,103
S83409D,,180.32733,,265.07401,0,12
S83409S,,144.03523,,179.94524,0,19
S83411A,5427.3374,221.28548,6130.8296,294.54855,263,25016
S83411D,9649.8506,218.67149,10811.321,284.60034,80,5060
S83411S,,247.15227,,316.70178,6,435
S83412A,4913.7842,223.91949,5548.4907,298.02466,239,24769
S83412D,8699.0059,218.87991,9478.7979,286.38229,70,5132
S83412S,,231.9333,,302.72861,9,403
S83419A,5365.6196,163.76036,5883.7725,214.38776,16,1467
S83419D,,202.1701,,277.74023,3,227
S83419S,,231.54216,,293.29706,3,32
S83421A,5339.709,231.86646,6152.7363,311.99457,50,6079
S83421D,8814.4473,344.57074,9847.0225,443.55615,21,1146
S83421S,,251.39168,,326.56824,4,106
S83422A,5213.0298,236.74814,5933.7036,316.59442,46,5921
S83422D,8823.8711,277.42465,10262.036,361.84595,15,867
S83422S,,213.95151,,279.28586,2,113
S83429A,,296.81387,,379.11191,1,687
S83429D,,197.67085,,267.8056,2,64
S83501A,3513.041,479.22357,3994.9973,613.32898,16,1849
S83501D,,543.33795,,691.91699,9,687
S83501S,,432.66049,,550.69049,0,36
S83502A,1983.7424,430.54178,2475.3684,553.05157,12,1509
S83502D,,631.91174,,802.48761,5,967
S83502S,,377.2034,,497.55518,0,46
S83509A,,173.35274,,222.60039,5,387
S83509D,,192.28,,248.10101,0,38
S83511A,4956.5376,878.29883,5675.4688,1126.3824,201,9982
S83511D,9149.248,321.71594,9866.2695,422.77911,63,3047
S83511S,,360.68158,,474.62299,10,382
S83512A,5485.2969,878.99829,6326.4106,1130.3702,201,10518
S83512D,9102.7207,329.48807,10203.174,430.10672,61,3180
S83512S,,386.23376,,497.15997,4,420
S83519A,5006.9956,217.29901,5383.9199,283.45871,12,636
S83519D,,237.74423,,304.92996,9,133
S83519S,,181.08469,,227.61719,0,24
S83521A,5961.7393,369.51385,6615.3916,475.25433,54,1600
S83521D,,276.35828,,354.0257,10,410
S83521S,,273.19919,,346.4451,0,41
S83522A,5165.0508,470.06177,5795.0151,601.87714,58,1585
S83522D,,293.31427,,378.03394,9,400
S83522S,,412.45306,,832.92169,0,51
S83529A,,223.24971,,284.49368,2,77
S83529D,,415.18536,,500.75,0,30
S8360XA,,321.53467,,406.31467,0,32
S8361XA,,145.69478,,195.46675,1,291
S8361XD,,345.16647,,435.98648,1,36
S8362XA,,188.89519,,250.24234,2,289
S8362XD,,162.9743,,212.55914,1,38
S838X1A,5801.4971,161.16768,6497.2603,213.13753,153,17839
S838X1D,8835.4482,206.71558,9673.9932,269.4548,35,1387
S838X1S,,234.49805,,301.13083,8,175
S838X2A,7089.9453,167.23557,7837.8188,221.87926,147,15381
S838X2D,8017.6309,197.85204,9065.6777,262.14896,28,1320
S838X2S,,177.24355,,232.80164,6,216
S838X9A,,127.48946,,169.88222,5,734
S838X9D,,295.34412,,378.85367,2,76
S838X9S,,457.24167,,573.75873,0,19
S8390XA,3829.4036,149.71284,4353.458,197.7973,36,5011
S8390XD,,232.47258,,300.59583,8,354
S8390XS,,181.86296,,230.69341,1,64
S8391XA,6506.0063,215.7896,7399.5146,295.33316,677,76267
S8391XD,10057.766,217.76929,11071.932,285.76855,303,3638
S8391XS,9072.1631,209.08151,10540.526,276.24521,33,461
S8392XA,5814.2305,218.24733,6714.5547,298.47449,627,73525
S8392XD,10038.957,227.02553,11260.456,297.50269,256,3401
S8392XS,9454.3252,183.25688,10478.673,239.83095,27,390
S8400XA,,164.90097,,208.61931,1,49
S8401XA,,376.31308,,460.65198,3,136
S8401XD,,270.65558,,338.99078,3,52
S8401XS,,128.7765,,178.29449,1,29
S8402XA,,325.63544,,407.6467,3,95
S8402XD,,276.37201,,356.57916,0,49
S8402XS,,352.20047,,445.94739,0,36
S8410XA,2826.9075,282.77493,3077.2073,356.15094,22,635
S8410XD,,247.36081,,325.04333,9,128
S8410XS,,203.34267,,263.86499,1,41
S8411XA,5352.8408,352.48096,5853.8174,451.40616,37,967
S8411XD,,269.69193,,344.32205,9,412
S8411XS,,247.76688,,337.38498,1,159
S8412XA,6447.8052,296.60995,7263.0645,383.94534,39,932
S8412XD,11220.491,274.1955,11976.436,354.83768,15,449
S8412XS,,278.44113,,362.53644,4,145
S8420XA,,113.21846,,148.35538,1,22
S8421XA,,315.79175,,397.43347,0,43
S8421XD,,138.40965,,170.98242,0,25
S8421XS,,184.17636,,233.51364,0,24
S8422XA,,472.33688,,598.52411,1,46
S8422XD,,153.66234,,193.87466,0,24
S84801A,,277.57281,,359.43134,4,78
S84801D,,208.47701,,257.36768,3,22
S84802A,,265.82794,,366.4306,5,80
S84802D,,150.42838,,189.12837,2,24
S8490XA,,186.16656,,235.87724,6,132
S8490XD,,210.66815,,272.75629,1,12
S8491XA,,410.06262,,525.97473,11,186
S8491XD,,325.13113,,410.586,3,48
S8491XS,,229.3035,,294.11349,1,18
S8492XA,2823.8884,253.41151,3446.4785,328.39713,13,246
S8492XD,,238.02901,,330.13687,5,52
S8492XS,,169.75653,,221.34087,1,19
S85001A,3142.5647,296.72968,3522.7637,375.17432,45,74
S85001D,,146.87027,,190.19379,11,69
S85001S,,266.02881,,343.0752,5,20
S85002A,10536.791,209.11917,11622.927,272.10443,42,58
S85002D,7194.5464,184.51079,8431.8887,261.65149,15,68
S85002S,,122.76133,,155.04601,3,12
S85009A,9749.7188,87.885284,9955.541,110.757,17,45
S85011A,29891.168,177.7075,31014.244,226.45964,22,15
S85011D,,153.06857,,191.50357,3,12
S85012A,27368.967,328.28043,28509.957,514.66711,38,19
S85091A,27845.451,514.8559,28581.848,649.89044,49,29
S85091D,6927.2334,,8002.9961,,12,11
S85092A,20891.877,1147.3793,21800.52,1405.8751,60,38
S85092D,,363.65738,,465.81894,5,12
S85111A,,371.61624,,472.36124,2,12
S85112A,,226.68045,,299.45273,5,21
S85131A,,106.09059,,133.23764,8,15
S85132A,,224.40643,,282.23141,6,12
S85141A,13937.46,209.62375,15097.608,262.76624,16,25
S85142A,15955.828,287.1777,16813.77,363.77914,13,34
S85161A,,402.95563,,538.53436,3,14
S85162A,,631.59668,,829.14447,5,20
S85171A,18642.775,610.20642,19734.861,991.60571,15,13
S85172A,15105.427,,16153.87,,14,6
S85201A,,225.54333,,285.16919,6,12
S85301A,,149.7775,,191.69792,3,24
S85309A,,111.64313,,141.30374,1,13
S85311A,13174.796,303.439,14008.543,394.134,12,20
S85312A,,335.01001,,436.77692,11,13
S85391A,,108.60667,,136.3175,0,12
S85392A,,86.506668,,108.42953,4,21
S85401A,,85.405624,,108.27062,0,14
S85412A,,427.04929,,628.64355,4,13
S85501A,,260.82666,,353.28293,4,23
S85502A,,140.27477,,189.41,3,21
S85502D,,141.26883,,176.32765,2,13
S85591A,,93.400002,,120.27263,4,19
S85592A,,168.39577,,224.58539,2,22
S85592D,,216.66624,,277.20874,1,13
S85801A,,141.24896,,178.12854,8,39
S85802A,,311.72894,,380.94022,10,38
S85809A,,114.35596,,148.74043,3,20
S85811A,,246.38802,,325.95395,6,98
S85811D,,477.00375,,1052.6362,1,13
S85812A,,334.06201,,436.5975,9,92
S85891A,1421.6837,174.36267,1606.0804,231.52283,24,57
S85891D,,133.48354,,172.73589,4,13
S85892A,12017.984,175.59782,12484.079,225.88174,14,66
S85892D,,115.60059,,146.44647,0,16
S85901A,1002.9432,222.07364,1091.739,290.17148,19,151
S85901D,,133.00166,,171.08583,4,20
S85902A,2634.8401,257.77014,2895.9976,338.45059,16,129
S85902D,,146.20375,,196.80937,2,30
S85909A,428.59561,177.08604,604.66559,224.87482,25,76
S85911A,,340.35254,,433.92145,10,109
S85911D,,116.67937,,149.04688,1,12
S85912A,,233.55135,,330.06262,10,108
S85912D,,234.24562,,292.78064,0,14
S85991A,,227.84146,,308.46375,6,47
S85992A,,176.04109,,233.4776,9,44
S86001A,2106.4644,212.65692,2470.0107,275.4581,30,2404
S86001D,7766.6016,261.9458,9337.292,334.23834,58,911
S86001S,5035.9258,307.56726,6396.8657,398.19278,13,176
S86002A,3209.1482,221.21738,3589.8755,292.66629,28,2160
S86002D,7246.2349,262.64951,8476.3135,336.91333,39,861
S86002S,,233.23415,,297.88007,10,164
S86009A,,187.00291,,246.91988,11,333
S86009D,,254.76579,,327.89664,9,92
S86009S,,232.07974,,291.0748,1,50
S86011A,6148.0161,726.75732,6890.625,937.33606,305,13401
S86011D,9370.582,243.70619,10144.54,318.00101,123,4879
S86011S,6315.7354,334.88437,7327.2271,429.75153,13,665
S86012A,6549.6504,715.95599,7337.355,926.01868,342,13853
S86012D,8671.3916,247.20177,9741.1592,320.99689,123,5154
S86012S,5736.126,314.69696,6539.7012,399.87277,17,677
S86019A,2352.7988,226.12605,2513.5308,294.21722,38,1980
S86019D,,207.98158,,277.133,11,314
S86019S,,170.00954,,215.96832,1,84
S86021A,6934.6548,478.21036,7753.561,636.69147,34,533
S86021D,,327.10568,,417.28235,11,230
S86021S,,344.88239,,432.64706,2,53
S86022A,8915.8252,512.29358,9796.3486,667.87463,42,518
S86022D,8095.0967,329.70795,9430.4717,437.82452,12,225
S86022S,,343.36572,,432.39029,0,39
S86029A,,136.3623,,190.47487,1,22
S86091A,8559.751,442.03171,9508.8359,563.8139,27,977
S86091D,6091.7427,317.72687,7244.0122,406.89297,49,583
S86091S,,322.14624,,420.54004,11,112
S86092A,9628.6699,414.46417,10286.871,533.14343,39,850
S86092D,7198.5498,312.87061,8517.5322,401.47058,42,552
S86092S,,363.38443,,462.03375,4,106
S86099A,,113.17958,,144.41252,2,63
S86099D,,271.31128,,352.54697,7,46
S86099S,,386.01315,,490.93655,2,17
S86101A,,228.73752,,296.50656,9,220
S86101D,,220.76801,,281.91238,10,65
S86101S,,208.79187,,271.40314,2,12
S86102A,,210.60992,,275.35007,5,215
S86102D,,220.19264,,285.93335,6,69
S86102S,,216.41843,,273.34079,3,12
S86109A,,184.29543,,238.13208,1,34
S86111A,5945.229,293.53934,6739.6133,381.24597,81,8762
S86111D,10497.204,213.55618,11454.601,274.7886,15,1985
S86111S,,234.87506,,299.06976,2,229
S86112A,5036.6709,313.60535,5856.4741,403.08801,73,9094
S86112D,8327.9443,218.86818,9437.4775,283.90192,25,2127
S86112S,,250.69127,,323.93848,2,230
S86119A,,173.36609,,226.4493,5,794
S86119D,,242.64084,,315.34732,1,133
S86119S,,307.98303,,391.94501,0,36
S86121A,,544.68231,,696.18195,3,94
S86121D,,251.57452,,327.04742,4,22
S86122A,9955.9658,626.46094,10588.232,782.28351,15,120
S86122D,,185.24486,,252.26595,3,26
S86129A,,106.15,,133.25937,1,14
S86191A,8626.7754,305.96127,9758.2793,411.37332,18,228
S86191D,,215.69225,,286.16763,6,92
S86191S,,313.54297,,397.18149,0,17
S86192A,,240.53549,,306.81921,11,231
S86192D,,232.17448,,295.99179,8,101
S86199A,,165.96214,,216.56143,0,14
S86201A,,285.60907,,366.05276,2,82
S86201D,,245.80209,,313.67957,7,39
S86202A,,225.60379,,291.34976,4,80
S86202D,,230.23,,325.45758,7,34
S86211A,5213.7612,618.52332,5940.4048,791.49377,44,1785
S86211D,10438.421,244.97667,12067.887,314.57654,15,326
S86211S,,237.41859,,298.42181,1,29
S86212A,5386.3232,735.85144,6017.4233,939.89056,41,1977
S86212D,,231.49155,,296.2861,8,394
S86212S,,235.17712,,298.36493,3,53
S86219A,,327.87872,,422.54153,6,953
S86219D,,255.47911,,325.82407,0,122
S86219S,,354.84714,,446.60477,0,13
S86221A,11799.873,613.37225,12646.597,858.85492,23,111
S86221D,,1244.8481,,1562.4194,1,26
S86222A,9719.8486,980.35175,10604.82,1270.9874,24,92
S86222D,,169.07404,,219.77522,9,27
S86229A,,730.30554,,910.09833,0,14
S86291A,,377.42929,,492.44061,5,83
S86291D,,202.6051,,265.44632,9,33
S86292A,,313.87079,,417.86765,6,96
S86292D,,360.58243,,453.1127,4,26
S86301A,,218.8746,,279.08984,7,582
S86301D,,215.58565,,277.0274,3,333
S86301S,,188.52724,,258.16058,0,60
S86302A,,255.8064,,328.69153,8,567
S86302D,,227.0029,,293.56369,4,314
S86302S,,317.32819,,410.99808,1,76
S86309A,,202.25395,,271.50592,0,138
S86309D,,188.0612,,248.36621,0,40
S86309S,,217.36433,,272.99768,0,15
S86311A,5183.3521,747.59399,5866.0449,958.03058,72,4819
S86311D,9380.3145,242.65747,10569.535,318.61365,17,1534
S86311S,,270.39618,,344.28101,2,195
S86312A,4513.0396,739.97516,5075.4072,950.58636,62,4928
S86312D,10818.816,240.54988,12166.764,309.28656,16,1533
S86312S,,406.00574,,514.21753,3,215
S86319A,,309.96033,,397.87073,3,506
S86319D,,286.18857,,363.36551,0,84
S86321A,,705.32843,,903.84406,6,97
S86321D,,280.32834,,360.78333,0,29
S86322A,,761.23395,,941.9903,9,76
S86322D,,257.8421,,430.60974,1,26
S86391A,,568.94452,,714.45044,5,400
S86391D,,288.08221,,371.84784,4,183
S86391S,,238.14638,,306.49893,2,29
S86392A,,688.38373,,891.48779,3,295
S86392D,,264.51166,,338.69656,5,159
S86392S,,301.66519,,385.46649,0,32
S86399A,,332.65924,,429.14999,0,13
S86801A,,220.13416,,285.01276,8,173
S86801D,,256.39056,,327.42349,5,55
S86802A,,217.95662,,290.58322,10,182
S86802D,,541.52106,,688.68744,10,40
S86809A,,85.920998,,111.723,1,20
S86811A,4998.3848,242.23053,5535.5659,320.04623,391,18241
S86811D,9107.1514,227.12267,10309.37,294.20529,109,1998
S86811S,8132.0381,241.23746,9761.8906,312.8797,18,271
S86812A,5021.708,268.96619,5617.2803,354.60538,442,16993
S86812D,7309.3198,247.07962,8727.6406,320.17786,159,2008
S86812S,7011.8657,241.08339,8159.5879,306.72778,29,288
S86819A,2195.1729,169.17508,2534.511,223.20441,54,2638
S86819D,6884.5259,239.05496,8727.0332,307.77444,30,371
S86819S,,209.31726,,263.44775,4,47
S86821A,15559.062,642.64172,16322.117,830.38348,48,131
S86821D,,189.67131,,242.34341,8,26
S86822A,10985.588,710.93903,12040.604,899.08893,41,129
S86822D,,401.66693,,504.97061,9,38
S86891A,6974.0015,178.43729,7584.1855,235.43703,38,1428
S86891D,6292.2207,197.70905,7106.1558,252.19138,26,330
S86891S,,206.31343,,265.36172,8,47
