icd10,b_mcr,se_mcr,b_total,se_total
T8141XA,4288.002,180.35283,4140.2515,187.06573
T8143XA,5868.8359,269.09647,5800.0864,279.11249
T8144XA,6751.5986,256.74942,6839.2456,266.30588
T8149XA,3219.8579,152.86206,3321.5715,158.55173
T814XXA,4729.5415,56.235973,4764.9653,58.329128
T8189XA,2877.7393,184.48631,3262.9941,191.35306
T827XXA,3893.3469,70.070625,4077.4143,72.678726
T82838A,4610.9282,178.82053,4705.1064,185.47639
T82855A,5858.0122,95.537567,6011.7622,99.093567
T82857A,7564.8682,150.86667,7665.438,156.48206
T82858A,5172.6416,89.726128,5216.228,93.065819
T82868A,7053.7539,67.496277,7177.2935,70.008553
T82898A,4021.9019,77.105637,4120.7324,79.975578
T83511A,-861.16107,59.94891,-1006.5125,62.180267
T83518A,-686.69366,99.571602,-774.41711,103.27776
T8351XA,-775.69598,109.47942,-880.11786,113.55434
T8453XA,6930.0083,236.99167,7133.1587,245.81271
T8579XA,4549.4873,229.83786,4610.4185,238.39265
T8612,3916.5579,93.163818,4015.6631,96.63147
T8619,6063.9482,101.00037,6155.6768,104.75969
W19XXXD,192.85803,52.256268,270.85352,54.201298
Z006,28702.369,54.191055,28931.344,56.208099
Z111,-220.43579,76.7677,-246.577,79.625069
Z1612,29.64155,62.992237,105.67551,65.336868
Z1621,1418.7261,106.26326,1966.2751,110.21848
Z1624,319.35052,83.758774,417.06747,86.87635
Z21,1102.4221,85.865211,1129.391,89.061195
Z22322,515.85138,72.220451,485.94046,74.908562
Z23,882.61401,25.774183,995.36554,26.733524
Z2821,1025.7288,65.952728,1125.7853,68.407555
Z418,2114.6265,175.39067,2075.7283,181.91887
Z430,14364.712,82.615288,16053.506,85.690308
Z431,2507.385,49.166451,3349.7544,50.996475
Z433,2018.9218,87.468063,2416.481,90.723701
Z471,2750.7234,26.245102,2796.0383,27.22197
Z4781,3348.4719,75.207588,3632.4717,78.006889
Z4789,3356.863,32.189877,3582.1665,33.388012
Z4801,64.422371,89.002731,131.09119,92.315498
Z48812,6549.3574,45.992298,6575.4404,47.704174
Z48815,944.55469,59.380291,869.59692,61.590481
Z4889,3414.2124,45.819077,3551.4893,47.524506
Z5111,8724.0029,80.112312,8605.5332,83.09417
Z515,-1505.702,22.139048,-1600.3427,22.963083
Z5181,1658.0914,61.832916,1749.0599,64.134399
Z5189,1573.7356,24.355318,1760.4192,25.261845
Z5329,1064.6274,110.43505,1161.9895,114.54555
Z5331,5031.0703,117.23605,5195.0654,121.59969
Z590,2978.2107,55.292091,3158.1902,57.350117
Z602,1053.6813,78.419243,1020.2659,81.338081
Z66,-1036.6771,14.723664,-1146.396,15.271692
Z681,-405.45261,30.682041,-521.8327,31.824055
Z6820,122.27928,65.155762,-35.764893,67.580925
Z6821,320.91428,67.656677,196.20488,70.174919
Z6822,389.92584,70.12632,243.11217,72.736488
Z6823,627.74176,72.12265,492.20462,74.807121
Z6824,767.86688,74.996078,644.8457,77.787506
Z6825,944.2041,71.005783,866.9599,73.648689
Z6826,1104.6198,74.227608,1003.5276,76.990425
Z6827,1417.6202,72.021202,1350.2908,74.701897
Z6828,1420.3497,69.483673,1375.6388,72.069923
Z6829,1475.9104,64.846893,1437.642,67.260551
Z6830,1812.2772,50.72258,1815.368,52.610519
Z6831,1920.1118,51.477478,1930.2552,53.39352
Z6832,1815.3055,51.284996,1816.6029,53.193871
Z6833,1793.9736,51.682472,1803.9929,53.60614
Z6834,1740.1298,51.855186,1743.5625,53.785286
Z6835,1901.4005,50.906075,1904.3047,52.800846
Z6836,1741.6602,53.126072,1734.9603,55.103477
Z6837,1810.8296,54.869183,1812.3938,56.911465
Z6838,1731.7102,56.560276,1733.0953,58.665504
Z6839,1610.03,58.487453,1593.6157,60.66441
Z6841,1888.0018,31.466661,1884.6096,32.637882
Z6842,1774.7034,40.882423,1755.1411,42.404106
Z6843,1774.3645,47.118141,1754.8856,48.871922
Z6844,2181.4866,84.786797,2164.0098,87.942642
Z713,2904.4607,69.58091,2896.9055,72.170776
Z716,-383.93701,73.322327,-349.35724,76.051453
Z720,1531.9017,38.425896,1567.4021,39.856148
Z7289,585.07214,88.404213,694.10406,91.694702
Z736,-87.669403,93.893608,-56.316021,97.388412
Z7401,-409.47635,44.809628,-524.93414,46.477486
Z7409,2225.7734,45.03558,2250.0544,46.711845
Z741,-371.5459,31.253191,-324.97885,32.416466
Z751,7148.2124,231.33932,8077.9341,239.95
Z7682,13289.608,120.1543,13548.056,124.62656
Z7722,674.31506,104.19464,745.79541,108.07286
Z781,5425.3936,49.190338,5563.9907,51.021252
Z7901,318.34692,14.110875,305.38373,14.636095
Z7902,-231.48117,22.052277,-277.22119,22.873083
Z791,230.71211,46.179878,315.96106,47.898735
Z792,811.22455,47.209091,806.4549,48.966259
Z794,244.29286,15.865102,209.90221,16.455616
Z7951,-185.897,30.483294,-225.01161,31.61791
Z7952,504.58871,29.795355,467.26962,30.904367
Z7982,240.49974,11.811379,261.71512,12.25101
Z7983,377.82108,90.535202,391.95352,93.905014
Z7984,382.96332,19.639774,400.65158,20.370785
Z79890,41.930843,52.702705,28.784117,54.664352
Z79891,-65.463737,30.693205,-98.498634,31.835636
Z79899,118.83308,12.684115,147.65407,13.156231
Z800,535.40295,49.729542,582.87598,51.580524
Z801,227.66705,63.126701,253.41267,65.476341
Z803,693.48383,58.358246,737.43396,60.530396
Z8042,808.02771,94.818558,860.72284,98.347794
Z808,1051.6705,81.131691,1096.735,84.151489
Z809,190.8022,58.305355,199.9436,60.475536
Z818,617.0705,73.574173,676.5885,76.312668
Z820,378.94391,87.016907,393.19858,90.255753
Z823,9.471118,42.808018,15.34387,44.401375
Z8249,181.32019,22.343241,209.77217,23.174877
Z825,-3.955848,71.125671,-10.903619,73.773041
Z8261,601.13208,140.34447,659.69055,145.56821
Z833,86.200386,32.36335,57.699417,33.567944
Z85038,257.92337,35.316147,273.37656,36.63065
Z85048,565.98767,80.306679,575.56122,83.295769
Z85118,60.236885,45.758675,52.059692,47.461857
Z8521,655.30304,155.75102,450.01126,161.54822
Z853,529.3338,26.702826,597.26068,27.69673
Z8541,439.81177,80.491867,470.58664,83.487846
Z8542,363.59549,61.575825,389.12555,63.867737
Z8543,566.92426,86.293304,595.03729,89.505226
Z8546,456.25568,27.07502,506.10971,28.082777
Z8551,32.359051,45.106972,41.639133,46.785896
Z85528,234.71689,62.336243,243.81096,64.656456
Z8572,434.93488,64.668472,483.44949,67.0755
Z85820,773.04108,51.896721,840.98859,53.828365
Z85828,339.2865,29.434988,389.00961,30.530586
Z85850,783.75415,81.222954,806.34021,84.246147
Z8589,965.92291,98.074928,969.34198,101.72537
Z86010,-489.38745,41.916222,-473.47571,43.476383
Z8611,1217.8,120.94967,1284.5083,125.45153
Z8614,-527.32965,44.262451,-609.14661,45.909943
Z8619,263.62921,48.926918,263.22861,50.748028
Z8669,225.49664,176.18513,232.42538,182.7429
Z86711,93.423424,26.578012,94.774155,27.567272
Z86718,72.640602,21.069513,82.028183,21.853741
Z8673,30.548426,14.350899,4.3707442,14.885053
Z8674,1491.2103,69.476707,1667.9565,72.062698
Z8679,174.87816,50.762192,167.20352,52.651608
Z8701,-165.01717,37.697277,-270.32559,39.100407
Z8711,-494.31174,37.950993,-525.87756,39.363567
Z8719,-538.64423,54.409039,-571.2804,56.434193
Z8739,564.23804,168.76784,556.4563,175.04953
Z87440,-505.16034,29.321817,-568.36462,30.413204
Z87442,49.314236,35.64146,86.765045,36.968071
Z8781,357.07382,68.935966,381.14728,71.501831
Z87820,898.89111,57.164738,1011.457,59.292465
Z87891,1285.405,10.587382,1361.8301,10.981455
Z87898,550.09375,125.93514,579.37415,130.62256
Z880,532.91583,19.109537,563.21936,19.820812
Z881,82.518875,27.08667,81.958298,28.094862
Z882,72.584404,24.721262,89.043152,25.641411
Z883,-4.1632776,79.106659,-4.6601124,82.051086
Z885,31.037022,24.241165,36.389774,25.143444
Z886,155.76236,33.801189,151.47763,35.059303
Z887,-237.52637,91.468658,-252.91753,94.873207
Z888,105.42339,20.872704,100.56756,21.649605
Z89411,376.92316,150.45711,319.96689,156.05727
Z89421,457.33676,75.398468,476.56223,78.204865
Z89422,425.40082,78.014557,426.50854,80.918335
Z89511,534.11462,59.259556,644.53217,61.465256
Z89512,635.12347,59.191032,753.22815,61.394176
Z89611,-129.4124,75.04393,-18.835819,77.837135
Z89612,-122.02993,74.336555,-10.186852,77.103432
Z9010,138.48203,108.98382,117.03294,113.0403
Z9011,132.48097,79.020157,127.09882,81.961357
Z9012,-59.976509,75.108063,-65.418007,77.903656
Z9013,390.86676,85.246544,433.90289,88.419502
Z902,358.43011,69.919922,363.5979,72.522408
Z9049,-280.82034,19.691801,-292.65131,20.424747
Z905,499.41858,51.412914,506.18176,53.32655
Z90710,42.060463,23.225634,61.901924,24.090115
Z90722,680.27368,133.75633,705.48218,138.73488
Z9079,538.0354,60.334076,544.4787,62.579765
Z9081,492.15991,84.655876,521.98523,87.806854
Z9089,-496.01154,66.367661,-491.63394,68.837929
Z91013,1003.5127,63.382229,1045.6117,65.741371
Z91018,1050.8267,69.811264,1082.6758,72.409706
Z91040,446.62918,51.731956,462.84933,53.657471
Z91041,51.803444,44.780708,49.611855,46.447491
Z91048,161.38773,67.845833,176.0533,70.371124
Z9109,17.025789,133.6051,26.608393,138.578
Z9111,-487.4982,80.978134,-539.79547,83.992218
Z91128,728.97705,179.32501,832.8551,185.99965
Z9114,1265.2753,29.959948,1349.0192,31.075087
Z9115,-1558.3179,75.398384,-1741.397,78.204788
Z9119,110.52434,29.43425,119.73306,30.529821
Z915,684.79077,64.604416,774.01306,67.009048
Z9181,628.53558,17.38677,718.29907,18.033922
Z9221,845.84454,36.647057,865.44446,38.011097
Z923,967.45807,34.905132,979.31134,36.204334
Z930,567.73492,61.007523,1010.4347,63.278278
Z931,-985.20056,38.54187,-825.2384,39.976437
Z932,236.12337,72.415092,267.15057,75.110451
Z933,-453.37656,46.513992,-473.16437,48.245289
Z936,326.70981,84.13813,233.8727,87.269829
Z940,2046.9865,49.006191,2140.7385,50.830246
Z944,4615.251,92.182526,4902.9243,95.613647
Z9484,5473.7954,122.73673,5653.7266,127.30511
Z950,-152.81337,18.546467,-147.26611,19.236784
Z951,-225.08728,17.677269,-242.75038,18.335234
Z952,1044.3732,29.779911,1081.5072,30.888348
Z953,576.35706,56.879662,576.9201,58.996777
Z955,144.44527,17.993183,131.08218,18.662907
Z95810,-54.477898,30.036783,-52.451035,31.154779
Z95811,12482.292,158.90176,13013.005,164.81624
Z95818,-290.94946,177.45569,-342.77277,184.06076
Z95820,665.29932,73.815651,647.45245,76.563141
Z95828,917.62231,60.50251,909.51855,62.754471
